Customer,Risk,Amount
Instituition,High,107336
SME,Medium,212457
SME,Medium,341355
Instituition,Medium,247981
Instituition,High,523212
Individual,Medium,342856
Instituition,Medium,273083
Instituition,High,64861
SME,High,320847
Corporation,Low,381657
SME,Low,308711
Individual,Medium,398445
Corporation,Low,399499
Individual,High,404688
Individual,High,75806
Instituition,Low,355004
Individual,High,83859
Corporation,High,502544
Corporation,Medium,228280
SME,Low,383355
Individual,Medium,127029
Individual,High,90392
SME,High,427902
Corporation,Medium,320411
Individual,Medium,262671
Instituition,Medium,369982
Instituition,Medium,325790
Individual,Low,168781
Instituition,Medium,106612
Individual,Medium,269760
Instituition,Low,448509
Individual,Medium,460597
SME,Low,239629
SME,High,477924
SME,Medium,482585
Instituition,Low,494285
Instituition,Medium,159488
SME,High,441031
SME,High,496328
SME,Low,241971
SME,Low,575566
SME,Medium,366343
Instituition,Medium,351980
Corporation,High,111225
Corporation,Low,383216
SME,Medium,430612
Instituition,Low,561126
Individual,Medium,179040
Individual,High,112120
Instituition,Low,134991
Individual,Low,84376
Corporation,Low,360118
Individual,Medium,59519
Instituition,Medium,321687
Individual,Low,312699
Instituition,Medium,453835
SME,Low,92797
SME,Low,556954
SME,Medium,99952
Instituition,High,298537
Individual,Low,304057
Individual,High,341282
Corporation,Medium,342901
Corporation,Medium,417955
SME,Medium,156897
Individual,High,490471
Individual,Medium,558660
Corporation,Low,572694
Instituition,Medium,196980
Instituition,Low,237939
Instituition,Medium,146025
SME,Low,118787
Instituition,High,168804
Instituition,Low,233746
Instituition,High,208970
SME,Medium,575967
Instituition,High,393659
Corporation,Low,26766
Instituition,Medium,405459
Corporation,Medium,575633
Corporation,Low,591494
Individual,Low,164085
Corporation,Medium,330765
Instituition,Low,129843
SME,Medium,421668
SME,High,549344
Instituition,High,413056
Individual,High,598717
Instituition,Low,264324
Instituition,Medium,223331
Corporation,High,463171
Instituition,Medium,338568
Instituition,High,98957
SME,Medium,510312
Corporation,Medium,464992
Instituition,Medium,43839
Individual,Medium,471435
Instituition,Low,144805
Corporation,Low,80935
SME,Medium,333128
Instituition,Low,87286
SME,Medium,578948
Corporation,High,286773
SME,Low,230670
Instituition,Low,56394
SME,Medium,351276
Instituition,Medium,488587
Instituition,Low,535504
Individual,High,509282
Instituition,Medium,454812
Individual,Medium,186646
Instituition,High,168874
Corporation,Medium,375985
Corporation,High,49175
SME,High,429809
Instituition,Medium,531298
Corporation,Medium,424117
Instituition,High,149843
Individual,Medium,180010
SME,High,59330
Instituition,Medium,444556
Corporation,Low,261106
Individual,Medium,182751
SME,Medium,281966
SME,High,404007
Instituition,High,142212
SME,High,398807
Corporation,Medium,328352
Instituition,High,535350
Individual,Medium,135104
Instituition,High,160180
Instituition,Medium,215974
SME,High,270287
Corporation,Medium,457734
Individual,Medium,235147
SME,High,388458
SME,Medium,524890
Instituition,Medium,96321
SME,Medium,308946
Instituition,Low,34326
Corporation,High,198606
Corporation,Low,336762
SME,High,29494
Instituition,High,530040
Individual,High,456906
Corporation,High,386213
Individual,Low,65029
Corporation,Low,387790
Individual,Low,182120
Corporation,High,94938
SME,Medium,524439
Instituition,High,118821
Corporation,Low,248327
SME,Low,88902
SME,Medium,293205
Individual,Low,337086
Individual,Low,197603
Corporation,Low,378363
SME,Low,327388
SME,Low,453527
Corporation,Medium,274338
Corporation,Low,210604
Instituition,Low,410320
SME,High,317663
Individual,Low,457749
Instituition,High,344286
Instituition,Low,244194
Corporation,Low,212063
Instituition,High,69151
Corporation,Medium,169722
Instituition,Low,426134
Individual,Low,367865
Corporation,Medium,380662
SME,High,416995
SME,High,407563
SME,Medium,228770
Instituition,High,151612
Instituition,Low,597102
Instituition,Medium,279716
Individual,Medium,35829
Instituition,Low,115389
Corporation,High,298597
Corporation,Medium,464435
Instituition,Low,543561
Individual,Low,94976
Instituition,Low,560148
Instituition,Low,165439
Individual,Low,571939
Individual,Low,189033
Individual,Medium,369335
Individual,High,402830
SME,High,36528
SME,Medium,186951
SME,Medium,520443
SME,Medium,202763
SME,High,332981
SME,Low,265915
Individual,Medium,169210
SME,Medium,322430
SME,Low,207953
SME,High,314330
Individual,High,221925
Corporation,High,101429
Individual,High,272853
Corporation,High,457757
SME,High,549815
Corporation,Medium,112416
Corporation,Medium,271696
SME,Low,476718
Instituition,High,44213
Instituition,Medium,313306
SME,Low,244562
Corporation,High,186089
Individual,Low,441512
Instituition,High,396020
SME,Low,519051
Instituition,Low,599733
Instituition,Low,477500
Corporation,Medium,214191
Instituition,Low,513214
Corporation,Low,56634
Individual,High,167597
Individual,Medium,253695
SME,Low,50391
Individual,Medium,283110
Individual,Low,192425
SME,Medium,540693
Instituition,Low,163356
SME,Medium,514387
Instituition,Low,415085
Instituition,Medium,281273
Corporation,Medium,421245
Instituition,Medium,92661
Instituition,Medium,121254
Instituition,Low,133707
Individual,Medium,426526
Instituition,High,332268
SME,High,196941
Individual,Medium,454677
Instituition,Low,268926
Individual,Low,598281
Instituition,High,462689
Individual,High,570910
Corporation,High,549186
Individual,Medium,120936
Corporation,Medium,534162
Individual,Low,473362
Instituition,Medium,307144
SME,Low,168484
SME,High,134277
SME,Medium,429573
SME,Low,92792
Instituition,Medium,408985
SME,Medium,135230
Instituition,High,478651
Individual,Low,348886
Instituition,High,425350
Corporation,Medium,105041
Individual,High,209781
Instituition,Medium,272547
Individual,Low,51227
Individual,Low,487855
Individual,High,202887
Individual,Medium,69614
Corporation,Low,150610
Instituition,High,568039
Individual,Medium,448658
SME,Low,109902
Individual,Low,25387
Instituition,Medium,274438
Corporation,Low,244359
Individual,Medium,68056
SME,Medium,132658
SME,Medium,557217
Corporation,High,408379
Individual,High,300694
Instituition,High,190640
Instituition,Medium,277264
SME,Low,158465
Instituition,High,478371
Instituition,High,249844
Individual,High,453388
Corporation,Low,448225
SME,Medium,528845
Individual,Medium,451430
SME,Medium,93338
SME,High,591859
Corporation,Medium,137309
SME,High,126486
Individual,Low,373316
Individual,Medium,356823
Corporation,High,140372
Corporation,Low,318087
Corporation,Low,41124
Instituition,High,138170
Instituition,High,378607
Instituition,Medium,555657
Corporation,High,328133
Corporation,High,29046
SME,High,358365
Instituition,Medium,103850
Corporation,High,140065
SME,High,512746
Corporation,High,48341
Individual,Medium,58766
Instituition,High,105717
Corporation,High,410568
Individual,Low,157014
Individual,Low,26939
Corporation,Medium,498508
SME,High,143737
Corporation,High,365964
Corporation,Low,563583
Individual,Low,271058
Instituition,Medium,499217
SME,Low,189460
SME,Medium,263071
Individual,High,297844
SME,Medium,272907
Corporation,Low,361782
Individual,Medium,542799
Individual,Low,425717
Instituition,Medium,188241
Corporation,High,270495
SME,Low,48884
Individual,Low,518251
SME,High,114746
Individual,Low,162355
Individual,Medium,581325
Corporation,Medium,172055
Corporation,Medium,565569
Instituition,High,326723
Corporation,Low,167566
Instituition,Medium,144212
Individual,High,572109
Instituition,Medium,113976
Individual,Low,39531
SME,Low,542463
Individual,Medium,587049
SME,High,297867
SME,Medium,323431
Instituition,Low,135632
Individual,High,35047
SME,Low,447931
Corporation,High,599066
Individual,Low,467281
Corporation,High,511071
SME,High,255616
SME,Medium,269774
Individual,Medium,553026
SME,High,44259
Individual,Medium,572117
Corporation,High,442663
Corporation,Medium,264933
Instituition,Low,445530
Individual,Low,321140
SME,Low,222427
Individual,Medium,582072
Instituition,High,45018
Individual,High,155112
Corporation,Low,450134
Corporation,Low,523807
Corporation,Low,517052
SME,Low,306523
Individual,High,457705
Individual,Medium,62903
Corporation,Low,71986
Individual,Medium,402750
SME,High,503844
SME,Medium,283738
Instituition,Medium,377372
SME,Low,342197
Instituition,Low,136429
Instituition,Low,477419
Instituition,Medium,448734
Corporation,Medium,50561
SME,Low,595168
Corporation,High,252915
Instituition,Medium,288834
Instituition,High,185657
Corporation,Medium,315984
SME,Low,437161
Corporation,Medium,69812
Corporation,High,38853
Individual,Low,430664
Instituition,High,397305
Individual,Low,302011
Instituition,High,340970
Individual,Low,564774
SME,Medium,142530
Corporation,High,393233
Individual,High,231478
Individual,High,161226
Instituition,Medium,279994
Individual,Low,262862
Individual,Medium,428229
Individual,Medium,430161
Instituition,Medium,283904
Individual,Medium,596633
SME,High,195292
Corporation,High,40941
SME,High,578699
Instituition,Medium,329404
Corporation,Low,129620
Individual,Medium,545552
Instituition,Medium,388287
Corporation,High,314030
Instituition,Medium,300915
Corporation,Low,418710
SME,Low,499302
SME,Low,334377
Individual,Low,68306
Individual,Low,297013
SME,High,202141
Individual,Low,94475
Individual,High,426143
Corporation,Low,213766
SME,Low,68304
SME,High,476860
Instituition,Low,465368
Instituition,High,550854
Instituition,High,121231
Corporation,Low,107119
Individual,High,102109
Instituition,Medium,317928
SME,High,101394
Individual,High,34497
SME,High,326854
SME,High,490974
Instituition,High,328692
Instituition,Medium,457258
Instituition,Low,177146
Corporation,High,466399
SME,High,192534
Corporation,High,432006
Instituition,Medium,539409
Instituition,Low,323698
SME,Low,372622
Individual,Low,273349
Instituition,High,205057
Individual,Medium,200240
SME,Low,468649
Individual,Low,512416
Individual,High,426415
Corporation,High,254609
Individual,Medium,256264
Instituition,Medium,201848
SME,Medium,425262
Instituition,Medium,43212
Individual,High,288509
SME,High,486932
SME,Medium,330084
Instituition,Low,67039
Individual,High,569397
Instituition,High,231576
SME,Low,151248
Instituition,High,383759
Instituition,Medium,541086
Corporation,Medium,506175
SME,High,569254
SME,Medium,390433
Instituition,Low,473166
SME,High,186042
Individual,High,531475
Instituition,Low,406121
Individual,Low,132079
Corporation,High,174906
SME,Low,366548
Instituition,Medium,112675
SME,Medium,172628
Instituition,High,86202
Corporation,Medium,567559
Corporation,Medium,96242
Corporation,Low,60440
SME,Medium,244001
Corporation,Medium,38928
Corporation,High,52433
SME,High,396613
Corporation,Low,401792
Individual,Low,69738
Instituition,Low,470082
Instituition,High,245715
Corporation,High,411491
SME,Low,473217
SME,High,125678
Individual,Medium,135541
SME,High,176053
Individual,Low,439579
Instituition,Low,230268
Corporation,Low,329895
Individual,High,70043
Corporation,High,360410
Instituition,Low,477493
Individual,High,294727
Individual,Low,153084
Individual,Low,508074
SME,High,102423
Individual,Low,460348
Instituition,Medium,297172
Instituition,Medium,51826
Corporation,High,455731
Instituition,Low,544418
Corporation,Medium,488645
SME,Medium,368876
Corporation,High,347127
Instituition,Medium,246094
Individual,Medium,266562
Instituition,Low,403014
Instituition,Low,462878
Individual,Low,182985
SME,Low,486202
SME,Medium,380662
SME,High,195222
Individual,High,401078
Instituition,Medium,288038
Corporation,High,581147
SME,Low,444294
Instituition,Medium,481137
SME,High,418351
SME,High,59459
SME,High,241765
Individual,Medium,231662
SME,Low,149211
Individual,Medium,471890
SME,High,225860
Individual,Low,428645
Individual,High,98901
SME,Low,157778
SME,Low,567312
SME,Medium,246188
Instituition,Low,391965
Corporation,High,251456
Corporation,Low,27930
Instituition,High,78674
Individual,High,256109
Corporation,Medium,430628
Individual,Low,577554
Corporation,Low,530221
Individual,Low,135597
Instituition,Medium,89016
Individual,High,252827
Individual,High,362009
SME,High,160750
Corporation,High,454668
SME,Low,238931
Individual,Medium,423943
Instituition,High,550319
Corporation,High,143699
Instituition,Medium,253030
Individual,Low,84771
Individual,High,258078
Individual,Low,231973
Instituition,Low,194726
Instituition,Low,208511
Corporation,High,275538
Corporation,Low,302922
Instituition,High,426994
Corporation,Low,479325
Corporation,Low,369161
Individual,Low,475712
Individual,Medium,555496
Instituition,High,569234
Corporation,Medium,93453
Instituition,Low,402694
Instituition,Medium,335606
Individual,Medium,312963
Corporation,Low,87423
Corporation,Low,485319
Corporation,Low,345901
SME,Low,44765
SME,Medium,349864
Instituition,Medium,367214
Instituition,Medium,370932
Corporation,Medium,420592
SME,Low,362980
Individual,Medium,468493
Individual,High,106525
Corporation,Low,286312
Corporation,Low,137566
Corporation,High,219897
SME,Medium,30925
Individual,Medium,142590
Instituition,High,392771
SME,Low,212024
Instituition,Low,66265
Individual,Medium,403966
SME,High,353984
SME,Medium,438787
Corporation,High,118897
SME,Medium,372044
Individual,Low,351340
Corporation,Medium,381904
SME,High,222185
Instituition,High,420049
Corporation,Low,371521
Individual,High,537491
Corporation,Medium,386637
Corporation,Low,236144
Instituition,Medium,120756
Individual,Low,456129
Individual,Low,119211
SME,High,288357
SME,High,521284
Individual,High,486275
Individual,Low,44859
Corporation,High,63187
Individual,Medium,491907
Individual,Low,374757
SME,High,256827
Instituition,Medium,476715
Instituition,Low,142211
SME,High,128536
SME,Medium,513871
Individual,Low,205672
Corporation,Low,430314
SME,Medium,55167
Individual,Medium,368291
Individual,Medium,419262
Corporation,Low,260616
SME,Low,363997
Individual,Low,224845
Instituition,Low,471599
SME,Low,44777
SME,Low,386286
Instituition,High,457567
Instituition,Medium,250071
Individual,Medium,365495
Individual,High,422828
Corporation,Medium,355422
Individual,Medium,484541
Corporation,Medium,409863
Corporation,Low,558919
SME,Low,590805
Instituition,Medium,143452
Corporation,Medium,216105
SME,High,547557
Instituition,High,251101
SME,High,595093
Individual,Medium,306439
Individual,Medium,246448
Instituition,High,30754
Instituition,High,447223
SME,Low,482077
Corporation,Medium,164553
SME,Medium,224274
Corporation,Low,141569
SME,Low,198250
Instituition,Low,136170
Individual,Medium,420554
SME,Medium,188342
Corporation,High,483207
Corporation,High,405161
Individual,Medium,515959
Instituition,High,551742
Individual,Medium,312474
SME,Medium,379981
SME,Low,340171
Individual,High,399534
Individual,Low,47838
Instituition,Low,566236
SME,High,517135
Corporation,Low,584393
SME,High,343357
Instituition,Low,266379
Individual,Low,36181
Individual,High,359220
Instituition,Medium,117436
Corporation,High,146146
Instituition,Low,283314
Instituition,Low,82839
Individual,Low,283565
Instituition,Low,195767
Individual,High,356452
SME,Medium,239833
SME,Low,475125
Corporation,Medium,335746
Individual,Low,270737
Corporation,Low,456664
Individual,Low,230637
Corporation,Medium,99163
SME,High,497472
Individual,Low,239935
Instituition,High,235545
Corporation,Medium,359203
Individual,High,55901
Corporation,High,482843
Corporation,Medium,398723
Corporation,Low,542945
Instituition,Low,319906
Instituition,Medium,96608
Instituition,Low,303686
SME,Medium,456844
Individual,High,137211
Individual,Low,326393
SME,Low,441616
Corporation,High,150920
SME,High,282692
Corporation,Low,503173
SME,Low,213230
Instituition,Medium,375291
Individual,Medium,407320
SME,Medium,525451
Instituition,High,156366
Individual,Medium,156431
Individual,Medium,184876
Individual,Low,130729
Instituition,High,394493
Individual,Medium,363339
SME,High,355130
SME,Low,287123
Corporation,Medium,207843
Individual,High,308704
SME,Low,206659
Instituition,High,585097
Corporation,High,71664
Instituition,Medium,126461
SME,High,464705
Individual,Medium,105283
SME,Low,347246
Individual,Low,548830
SME,High,464416
Corporation,Medium,521374
Corporation,Low,526721
SME,Medium,104490
Corporation,High,205595
Instituition,Medium,171210
SME,Medium,219304
Instituition,High,103914
Instituition,Medium,66884
SME,High,387218
Corporation,High,396275
Instituition,Medium,371585
SME,Medium,430846
Individual,Low,566350
SME,High,317567
Instituition,Low,589204
Instituition,High,165503
Individual,Medium,347253
SME,High,395797
Corporation,High,96085
Instituition,Low,185796
Corporation,High,589833
Instituition,High,359737
Corporation,High,296889
SME,Medium,347438
SME,High,497607
Individual,Medium,139807
Individual,Medium,349838
Individual,High,221873
SME,High,403516
Instituition,High,28610
Instituition,Medium,102105
Instituition,Medium,262999
Individual,Medium,483282
SME,High,103842
SME,Low,383472
Individual,High,47469
Instituition,Low,520863
SME,High,332814
SME,Low,35631
SME,Medium,169273
Corporation,Low,313419
SME,High,387196
Instituition,High,547583
Corporation,Low,298120
Individual,High,343427
Instituition,High,437837
SME,Low,484293
Corporation,High,409012
Instituition,Medium,40983
Corporation,Low,308191
Corporation,Low,74748
SME,High,586960
Instituition,Medium,473862
Instituition,Medium,60946
Instituition,Low,360590
SME,High,87123
SME,Medium,506664
Corporation,Medium,468255
Instituition,Low,277009
SME,Medium,78743
SME,Medium,521745
Individual,High,591558
Individual,Low,464511
Individual,Medium,385002
Corporation,High,153236
Corporation,High,304661
Instituition,High,348988
SME,Medium,412003
Instituition,Low,230566
Individual,High,428414
Individual,Medium,353183
Instituition,Medium,328572
Instituition,High,323643
SME,High,428483
Corporation,Low,427106
Individual,Low,484144
Instituition,Low,549214
Corporation,Medium,51773
SME,Medium,182305
Individual,Low,550523
Corporation,Medium,385089
SME,Low,491793
Corporation,Low,180594
SME,Low,465463
SME,High,494494
Corporation,Low,63483
Corporation,Low,266124
Individual,Low,227929
Individual,High,417248
Corporation,Medium,232093
Corporation,Low,589641
Instituition,Medium,59212
Instituition,Medium,210284
Instituition,High,448740
Individual,Medium,222115
SME,Medium,243134
Corporation,Medium,556067
Individual,High,532132
Corporation,Low,351250
Instituition,Low,227851
Individual,Low,94843
Corporation,High,106293
SME,Low,597174
Instituition,Medium,207638
SME,High,54210
SME,High,474175
Instituition,Low,171480
SME,Low,147969
SME,Medium,210546
Individual,Low,341658
Instituition,High,319492
Instituition,Low,279159
Corporation,Medium,181167
Individual,Medium,285505
Individual,High,573054
Instituition,Low,412050
SME,Low,57042
Individual,High,292405
Instituition,Medium,88570
Individual,High,597710
SME,High,567330
Instituition,High,554003
SME,Medium,50556
SME,Low,434675
Instituition,High,403514
Corporation,Low,484898
SME,Medium,290924
SME,Medium,336137
SME,High,244819
Corporation,High,42266
Individual,High,565591
SME,Medium,346351
Instituition,High,369493
Corporation,Low,377508
SME,Low,190751
Instituition,Medium,423601
Instituition,Low,56630
Instituition,Medium,599837
Instituition,Low,179277
Corporation,Medium,133524
Individual,Medium,84005
SME,High,93611
Individual,Medium,163061
Instituition,Low,568931
Individual,High,424439
Individual,High,574200
Corporation,Low,462873
Individual,Medium,531615
Instituition,Medium,369698
SME,Low,206098
Instituition,Low,415469
Individual,High,357148
SME,Medium,349850
Corporation,Low,223438
Corporation,Medium,354297
Corporation,Medium,576400
Corporation,Low,114352
Individual,High,68907
SME,Low,296752
Instituition,Medium,559173
Individual,Low,33816
Corporation,Medium,166246
Corporation,High,366444
Instituition,High,422104
Corporation,Medium,319833
Corporation,Low,363971
Instituition,Medium,344730
Instituition,High,527608
Instituition,Medium,529312
Individual,Low,50349
Individual,Medium,375567
Corporation,Medium,421471
SME,Medium,349405
Instituition,Medium,66844
Corporation,Low,280101
SME,Low,274896
Corporation,High,30220
Corporation,Low,409317
Corporation,High,203799
Individual,Low,586519
Individual,High,125442
Individual,High,501022
SME,Medium,596229
Instituition,Medium,551209
Instituition,Low,411283
Individual,Medium,550327
Corporation,High,58240
Corporation,Medium,416445
Instituition,High,309795
SME,Low,153803
Instituition,Medium,479096
SME,Low,425986
SME,Medium,550390
Individual,Low,547791
Instituition,High,231623
Individual,Medium,383872
Corporation,Low,192290
SME,Low,200011
Instituition,Low,359027
SME,High,203153
Individual,Medium,543184
Corporation,Medium,455908
SME,High,208246
Corporation,High,140777
SME,Medium,556228
Individual,Medium,462734
Corporation,Low,48670
Individual,Low,159520
Corporation,Low,476801
Individual,Low,202750
Corporation,High,311226
Instituition,Medium,527511
Instituition,High,443579
SME,Low,135615
Corporation,Low,287889
Corporation,High,350594
Instituition,High,388539
Individual,High,258758
SME,High,515990
SME,Low,330223
SME,Low,211276
Corporation,High,544153
Instituition,High,44180
SME,Low,26743
Instituition,High,407688
Instituition,Medium,480733
Corporation,Low,433074
Individual,Medium,584328
Instituition,Medium,488407
Individual,Medium,303616
Instituition,Low,86480
Corporation,High,27378
Corporation,Low,580527
Individual,Low,491388
Individual,Low,518781
Corporation,Medium,341327
Corporation,Medium,82185
SME,Medium,410842
SME,High,88862
Instituition,Medium,155783
SME,Medium,407980
Instituition,High,132905
SME,Medium,135810
SME,High,181866
Individual,Medium,385176
Individual,Medium,492368
Individual,Medium,319491
Corporation,Low,54325
Instituition,Medium,452761
Corporation,Low,321583
SME,Low,547414
Instituition,Medium,596900
Individual,Low,470346
Instituition,Medium,271508
Corporation,High,568021
Corporation,Medium,43934
SME,Low,577150
Instituition,Low,240452
Instituition,Medium,30341
Instituition,Low,29717
SME,Medium,379071
SME,Low,156335
Individual,High,216176
Individual,Medium,441026
SME,Medium,153423
Corporation,Low,457486
Corporation,High,389780
Corporation,Low,209588
Individual,High,345350
Corporation,High,435692
SME,High,289577
Instituition,High,192741
Corporation,Low,173270
Corporation,Low,188658
Instituition,High,210859
Instituition,Medium,334165
SME,Medium,135301
SME,High,91252
Corporation,High,278595
SME,Low,461873
Instituition,Low,239913
Corporation,Medium,25130
Instituition,Medium,479901
Individual,Low,492970
Individual,Low,430840
SME,High,516699
Corporation,Medium,296297
Corporation,High,401765
SME,Low,365703
Instituition,Low,101084
Individual,Medium,525925
Individual,Low,252975
SME,Low,513512
Instituition,Medium,152184
SME,Medium,466970
Instituition,High,393979
SME,High,486106
Instituition,High,307825
Instituition,High,546553
Instituition,Medium,234848
Individual,High,593628
Instituition,Low,563988
Individual,High,125884
Corporation,High,65568
Individual,High,498613
SME,High,217965
Instituition,High,164963
Instituition,High,166300
Instituition,Low,76177
